"","WT1","WT2","insASAY1","insASAY2","hete_DelE61","hete_DelE62","homo_DelE61","homo_DelE62"
" Eya1",50.7205568555206,44.4277655605882,39.8386558930804,40.4611630237887,117.111609310173,134.990234542458,46.0168339049411,23.8599505086172
" Bag2",374.940585056843,322.005337681616,718.88693919322,721.034439844333,426.183319345232,356.721303030412,482.070775943673,751.574371678444
" Rnf149",1192.35230443001,1203.0708873973,1928.15817265503,2002.23046698346,1396.32762088533,1322.33861970127,1487.02409816344,1712.56576890166
" Zdbf2",263.020767160349,256.795426412009,916.459167695432,925.77190926248,293.462223755845,287.931382893886,536.472776832804,807.838189479439
" Klf7",762.232291606836,718.176548460809,469.628313505461,478.52520576983,554.467262280416,546.670016805945,907.556893503656,800.40961534147
" Fzd5",415.356043254261,405.507017636521,257.298040702373,243.472945341507,394.523026556732,361.826646755844,292.693731488073,239.577655647457
" Mreg",2598.98141785321,2562.68775949049,1673.79987657613,1663.68279246044,1733.83242730415,1794.93194273998,1811.4042978029,1525.71786969219
" Irs1",35.7842499639093,26.7953618507429,31.7030423646086,35.8782447647826,63.7984482891165,61.2110302015191,27.6681041289373,35.2798387674618
" Dis3l2",918.206064675568,872.666804728031,654.761282567106,575.066582436427,1013.57107564676,1021.98058726355,762.42447226751,660.411521060629
" Cd55",510.596588058283,582.194022312088,412.90961187108,379.734065031328,357.071030654235,359.66828799483,473.826348162099,410.799546158979
" Etnk2",245.898374926056,245.731644456157,194.266115286065,177.497537160804,203.994080787695,202.774233107761,236.0959319248,200.987002693844
" Btg2",5235.48494185785,5189.49866020799,3539.11013180974,3762.89026845484,3574.2246421303,3402.66251793163,5505.54034936607,4485.03149710583
" Csrp1",11486.708646362,11275.7315944768,8107.63685224497,9074.06853863178,5753.75942589833,5483.01526323386,12576.1789945116,12776.1555066056
" Hmcn1",20.4865503174297,17.1024673863073,19.2231117665905,21.5408434954612,39.0913342297754,33.3248151649983,18.282782494219,11.2588942682625
" Ivns1abp",2683.85673580329,2684.80214909509,3250.04221886165,3357.70808642975,4808.74430761465,4632.59941941011,2904.59049763292,2808.15358057264
" Cadm3",9.61735242835689,7.92165498749412,12.6529271311243,16.0851523922596,36.6126725778085,31.6382873274945,12.9912380749417,11.0818387825824
" Akt3",1027.38978049292,962.082387820325,593.848517078865,634.910065252246,865.945406358041,827.323830905995,844.061957280756,743.864541757929
" Mixl1",10.0855031205248,7.41719911735909,25.2739859966854,45.5754114112591,10.471334627647,9.69497728302495,12.9748778991232,38.0865391053265
" Lefty1",1175.16922709759,1052.41264720816,3366.4227790886,2752.83827804766,430.009881135088,498.804586360341,1111.57060431211,1738.28338919717
" Tmem63a",621.84260939318,659.809444096621,482.277497459437,487.450687553565,397.551445273524,454.089158315184,456.909187070439,538.721857404232
" Slc30a1",380.055980373918,390.009455374076,279.168140327804,208.308004646103,518.274582531633,559.11708011766,295.146307175936,203.1365888071
" Sephs1",948.238282863224,886.74058727044,1555.33194690981,1533.16403734525,1017.41729271591,988.87492392119,1254.17172475454,1389.90227744343
" A930004D18Rik",40.0688139873383,27.5033524498456,93.4919467232843,76.2050698001471,39.4682685965372,35.7190246868219,63.6089658273381,85.6553250523035
" Tsc1",1240.61640320097,1198.69757479036,1006.83297435316,927.271634206456,1540.25730487512,1533.31440640543,939.556275263646,776.619094239069
" Prrc2b",4130.2928143484,4109.69938877861,2964.19346193576,3027.79057721156,3557.34467214835,3440.63275034053,3315.05516135784,3032.26841941734
" Fam102a",238.35045612784,225.911763485674,205.147262241672,190.736995881315,134.141967974744,140.524081006271,159.854977351518,154.00675025904
" Gm13408",2211.7259184802,2469.10193354722,2393.06720573785,2489.28556612925,3792.82762670877,3474.46279441727,2573.6109312539,1937.07535789015
" Hspa5",19493.4435901138,19379.1835732387,14663.3797365089,13920.9522365915,21166.2426785612,22580.4636919073,12987.4623293078,12736.043412602
" Gtdc1",1099.80976742272,995.398416066061,704.111150476707,748.05446743045,1412.17371766061,1296.44923145717,948.855476966196,826.6921900083
" Zeb2",96.3583382313007,82.0541878682329,79.828496952787,73.88943459606,173.38561398688,167.378972847267,92.5651025788252,106.808126518436
" Fign",35.3130263947038,30.7648411797722,57.3292882998063,61.4812600237104,46.1824922112875,44.1728688946317,35.1643983826555,45.5694897085779
" Sp5",435.966798088438,422.945647269798,2186.27350450578,2235.20676351743,848.096898570865,836.658072901657,1167.54284312428,2464.29673790721
" Pdk1",3955.99698712084,4079.01891718431,11192.4549165922,10644.4708192641,3631.47962131854,3832.53390400504,7263.13770814267,8807.69509989276
" Zdhhc5",1339.34269049325,1234.36882708472,2132.15220747107,1996.40432451587,1101.08903133057,1112.95908254347,1584.35500639555,2100.7884527266
" C1qtnf4",497.055588786919,503.856660785637,306.18503403717,313.007198692114,345.820754447052,350.557351711321,271.109570799935,268.311378440214
" Alx4",13.5841468374642,6.26971973009872,11.8118095340589,6.64218233983584,31.612016244097,21.5384399418374,6.85474788668601,6.19122170547187
" Trim44",1891.10474729895,1933.14307282277,1353.38321949535,1441.55495635307,2039.27402646031,1985.45602664235,1673.31765923658,1440.08787695203
" Fjx1",166.629172077694,148.759572699769,265.935316120994,309.442029862996,233.226568895529,237.731113344985,210.126574362005,253.048977553852
" Prrg4",2417.87897318815,2379.26392678588,1255.41067324631,1259.04864756941,1446.96197875948,1475.19949078095,1887.47766996682,1897.83298408718
" Spred1",925.182056489525,893.177243686009,1412.4796219472,1377.70792653102,1091.20049509232,1030.80631940893,1371.70404836074,1430.51800028266
" Tubgcp4",631.480640560972,671.794397948756,1066.63431425547,994.179251173599,815.511060577492,843.386224195281,832.526934572346,1019.98164445999
" Myef2",2613.04832430807,2567.16626661202,4408.92469460184,4348.52838282286,2600.76443779033,2662.03481915744,3746.62483269675,4162.23016625868
" Bcl2l11",219.862938077048,237.183646787245,518.076563629435,518.297194645847,292.327035679329,273.071984914389,352.402810826568,509.799274612185
" Gm10762",189.616614588507,153.180546078784,492.536003804337,560.026749393657,215.04326770185,166.851158024451,305.393468750523,379.639712491522
" Rrbp1",8152.14064294492,8922.63293486035,5984.5999027331,6016.04841202936,8907.46005966441,9361.65196625827,6371.71391584457,5262.27553362259
" Srxn1",1904.11265681487,2098.44274397116,5435.48661341215,5393.65556263355,1082.44469269327,1072.9958629818,3938.8570943302,6258.33538879803
" Zcchc3",1387.45878687389,1380.91593261969,2173.25129157579,2164.51113165115,1533.22322374524,1395.59613383008,1835.45333425367,2317.18107311128
" Bcl2l1",3532.97261432122,3619.01203980768,2892.71743444832,2870.94125677894,2430.72087981534,2397.52736050997,4275.44078936122,3934.86633968084
" Zfp341",360.672580308067,387.854537464891,284.488437480802,285.222777810505,381.751859019908,360.671375255644,301.117261422293,274.006925995634
" Gm14230",1047.51747824453,1273.20890423284,1923.77253136784,1885.08431927266,1244.64426259491,1225.67511621242,1485.66434429425,1564.85662418593
" Soga1",253.4350916939,255.745101021263,386.6033628902,366.752003989997,369.604557214456,324.76160275351,371.392268119946,414.495486180406
" Sdc4",3652.08459458574,3596.83582636502,2683.09889786008,2559.40825371921,2187.68369425394,2221.31335285685,2264.41707543127,2187.40741585076
" Atp9a",1451.82561895555,1607.96602381018,1204.97066248879,1220.09313902326,1164.11411214477,1215.69052722437,1044.62641746837,812.841240983068
" Cdh4",85.3713164448932,116.66552898477,273.41938506206,263.559082191064,122.480613046056,131.139188126711,179.970066908302,206.21143079203
" 4921531C22Rik",15.6149454387968,5.35907237014858,47.554563546913,37.8495768947157,7.20547180677081,9.7289054624931,21.4834690883513,24.6958871372232
" Gmeb2",971.257689739799,1006.61741184156,720.15910966344,718.234985576556,881.841955570274,884.178320924364,772.819116564664,742.045189217828
" Zfp704",189.938191680897,170.962311244457,328.208988800801,334.873953737158,203.40587518716,197.473432640717,224.835669698678,283.232023512538
" Zmat3",2085.17365865227,2167.85371472429,1575.0386159509,1675.66295369749,2039.51031972737,1895.90501078171,1916.34137361748,1817.90262697062
" D3Ertd254e",168.988772658768,181.622800261748,301.745756084175,263.556466649633,183.148949533104,173.449119916085,193.007855350281,248.174599109697
" Trpc3",21.4737203110687,13.8183985721888,55.914588876465,35.1343257097943,41.8035375362363,40.1376608685422,27.1940304316423,29.1101647436988
" Spry1",731.832080434244,700.728184396078,548.841057250416,517.439067901271,582.865633428069,691.082081242518,658.776849134016,630.151609863823
" Sclt1",163.883312555935,175.529683205283,358.145207805526,352.719010506213,203.269836518961,228.200300007929,227.813812883041,299.696653649583
" Maml3",82.1505394485604,75.9600659608114,100.560000087258,97.8720734585998,284.44899689413,241.956047639303,75.8653853945384,95.6871978346734
" Lhfp",222.903891998485,228.404736576065,195.272940613064,223.360136253811,369.847172192164,349.261113427971,222.104244579255,259.159957915965
" Pfn2",697.160864602357,691.645266695607,1103.18871487699,1077.54933367001,1006.62394801817,930.635026879336,1096.14726896916,1208.13864605885
" Tiparp",2625.36128109871,2446.49773503904,1834.74152448272,1952.69408070465,3502.02305881349,3439.61030396688,2390.7017460715,1940.3911322104
" Trim59",2498.83402129739,2380.60242380782,3467.0723277566,3181.97233235148,3240.11789915941,3624.73395984933,2747.05183243779,3093.99624459938
" D930015E06Rik",910.333047768557,902.977164308798,897.597309337548,866.409520425009,1432.56421122468,1526.72534671615,906.192449943663,885.622393657511
" Apoa1bp",6162.60101641177,5932.78231479649,4653.28736507971,4959.09700091174,8745.30414494848,8687.09826433327,5453.79630199386,4652.01391602326
" Slc25a44",464.774172759192,522.29606215246,671.648052314278,665.198113359323,856.702295650354,824.865399229258,508.623737817578,675.46294046126
" Ubqln4",4264.95115611348,4140.84095790982,3888.08682076509,3819.53378944566,6332.49806315432,5973.0395967484,3964.11352880211,3633.87901441599
" Dap3",2930.9022957071,2846.08962437638,2734.49130467457,2703.12176029877,4162.62452596751,4243.25189802786,2595.00283797149,2405.93676932422
" Mtx1",2851.39332989531,2887.40323458309,3439.89773308087,3266.28155340739,4172.25559289923,4252.28978363903,3011.87076375004,2955.16104006076
" Ube2q1",2206.84649537384,2202.39810124219,2692.29627199909,2717.04410407633,3177.12730464165,3137.17028437791,2528.09026648609,2503.31267195987
" Ints3",2713.78534696008,2727.43050028457,2942.70753246293,2909.408046409,3980.7261988149,3989.60945268335,2714.27445139101,2786.26126234546
" Car14",29.0096265466236,5.97368804279289,40.286423114816,63.2856442227326,130.517487781363,138.811954825882,26.1243738156132,35.3933783304934
" Txnip",14905.3869258937,13194.3413789321,7138.36220966685,7437.34144529917,24828.4641173939,23231.5318716224,7567.4357502823,4647.74748941241
" Pias3",695.764534083178,687.336228381527,797.427241135184,745.388724915841,995.177432882432,961.140179365234,703.235283389888,686.756185915333
" Prkab2",540.736889041673,486.727096246855,400.296190866549,375.208692727625,574.447819497146,584.958700590451,467.483736203312,416.190746786347
" Notch2",1143.90133159089,1196.56347104988,1165.78246222897,1197.94721934137,1772.99640645354,1821.93768533563,1095.9666202681,1099.33237593653
" Atp1a1",19020.636202517,20348.6920358849,19555.3413468669,18501.1283287048,28571.2209275373,30572.5737161817,16832.9687753227,15503.1660774293
" Dclre1b",160.088643449218,160.821742073236,261.444529336676,269.205593080124,269.519000622963,263.073137919705,215.874277154874,251.493452061441
" Rsbn1",391.971112509645,350.846779036158,367.656573672395,373.837880014642,556.255552949398,598.088521848971,393.561953021043,379.49742537118
" Slc16a1",6533.41053652364,6832.93229947563,5874.32089941741,5878.56479028079,11005.7944942385,11672.0422094718,6306.26702988634,6541.62819716401
" Ddx20",2080.94456188183,2028.9208172588,2982.50108839207,2772.44567747374,3047.69134105833,3269.05289427184,2145.23750359234,2385.25107505773
" Slc6a17",38.6874557718581,52.7515143300137,92.2823309880161,75.8443376299402,128.10170890889,117.85025454337,51.7886853695784,82.3889148375694
" Arhgap29",846.423403265278,802.680137141099,593.611117967251,624.223698569226,1486.61415441028,1430.29032089885,866.005837568966,861.731551688179
" Fnbp1l",1449.20509592531,1362.65349952876,1542.04768081473,1537.76330144231,2496.37764135838,2369.24464930987,1428.01377237742,1540.20533583503
" Pde5a",105.636553813562,118.610798775056,221.146546417926,206.267250645985,288.86331799339,297.882629425126,177.14556596102,212.152338346489
" Ap1ar",676.899522141363,624.478200809532,902.05649565725,820.689606326883,1056.18533822679,1004.52926320051,764.850968699794,848.882705883461
" Ube2d3",1591.44476435818,1478.28206461616,1936.12220924028,1881.04062415348,2243.70131904101,2172.17221852247,1792.03097536186,1861.45523492458
" Nfkb1",967.889513912403,995.723137966701,1133.64852963911,1125.25861605015,1371.31903151166,1399.0630341226,1065.31909622497,1106.36605008257
" Pkn2",2552.75553167557,2360.7805981023,2447.29712511935,2433.07013735131,1541.3754443295,1586.11723507224,2568.47762655111,2561.31373677204
" Ddah1",836.828047025776,904.998396918012,715.296945406523,751.875711049152,434.876736765112,464.816293074139,834.256382707784,850.81445919195
" Syde2",846.89174509672,774.734614151134,627.133487334541,640.992400116391,497.72337407384,472.192736459856,713.640715996824,700.21170441817
" Prkacb",1332.86209569234,1278.37977676269,1314.586671168,1263.92510504114,858.098841833077,856.116823817509,1367.70942894929,1390.69886175264
" Dnajb4",76.019432116213,67.1874745856507,143.087645430756,124.012640274468,54.4810225813187,52.0584562799677,95.4180390666131,121.748835005685
" Zzz3",945.88416370297,910.362467926286,1198.99389211326,1154.96314572147,584.189523153294,592.041050633626,1009.00314028057,1116.306366748
" Rabggtb",4229.34821141534,4451.93099841646,3723.70853335163,3369.89489706363,2242.94726117617,2396.70999989875,3404.89748549027,3348.59599174822
" Ankrd13c",932.22558880338,873.270594543019,1237.10896040026,1186.06885214261,407.308067439499,425.398201937857,1117.08708373797,1236.87350368679
" Chd7",1339.08296050963,1188.18912261582,1203.86593356309,1204.42959239855,1932.12582348765,1768.81614951039,1278.30043988677,1246.66538718254
" Ccne2",339.752330813208,268.301262922659,699.175479214692,532.500484515775,231.74185210873,270.049947732855,454.238346370426,557.831642268053
" Pdp1",181.740718217084,185.500954226412,157.850361065528,150.17975121728,103.740527348911,97.9398097867878,167.384727184338,123.985412902431
" Wwp1",1821.4324671353,1742.72206983482,1328.4869455762,1297.07825863301,1693.95579326262,1685.86371459064,1622.8283200845,1469.39432819312
" Fbxo10",129.068950306229,115.269195240985,364.320282179081,348.461088511609,176.947965817892,190.333913598263,216.730848790694,301.602660479376
" Igfbpl1",63.4720634834704,67.7275224991369,80.9755920061401,106.997079935001,153.36786359663,125.541605858016,79.2434778254148,87.9994232524634
" Anks6",190.171464906418,194.091328340469,239.452760356348,257.253493612802,277.63244101704,276.606471210887,224.354546989361,229.655794670201
" Invs",73.3437655603582,69.473861145056,171.758675161968,176.642557604328,114.529010867961,103.311545899157,115.585938500866,158.087560853754
" Slc44a1",2650.46653755338,2735.14481598955,2436.99666053942,2505.19154418758,1774.53653083305,1849.97290960885,2417.251286712,2381.11739280586
" Tmem245",971.01197693763,1002.52647370933,512.223442825774,538.71167084296,647.412047628021,698.386382981223,849.991509503856,631.455800120769
" Acer2",303.391426854611,322.059148734036,496.791787247347,531.882615729572,202.673121690151,221.558745556188,316.811218996422,402.51526198135
" Ror1",34.9904495876312,31.3015585937783,48.424443970003,46.3003718747663,118.51606797066,115.151271023354,30.9937902470551,39.0744725883806
" Cachd1",578.475268390788,548.967942444275,836.615516906802,796.077052837673,813.109058965013,833.930049718856,625.361544528845,644.684741494607
" Zyg11a",516.928141342897,526.284787280778,462.257781015392,475.64963047835,284.842782924934,286.626560801288,383.594981243933,444.824205639154
" Ptch2",254.939581585954,285.007991898968,283.640941487961,280.548544028888,163.670845076835,178.483897543424,209.715865057205,177.912797143626
" 1110065P20Rik",1667.11281991588,1550.53256944467,1242.64522097192,1216.13322787493,1363.31587221693,1413.35099283542,1263.9745411421,1160.42750248083
" Grik3",131.499314842603,133.116777579468,237.05417304305,226.603936293438,106.69988403933,104.513360553449,116.098623260961,121.713084681293
" Ago1",621.976240991877,581.530168739418,1149.72287298133,1060.5501723461,849.47323106774,792.427225123738,710.955355484863,929.028431702818
" Dlgap3",132.772194736113,136.702840837294,184.326778428049,181.672571009031,311.593409110125,278.421987654461,128.233706785873,125.406115732901
" Khdrbs1",4124.82276615942,4206.87897893525,8134.32640862161,8303.08385850705,4222.95006973867,4366.14693854122,6305.4201217305,7822.06548830096
" Srsf10",2520.69338327648,2398.60601679471,4138.15150269897,3900.96150059627,2459.89653862537,2644.26674578584,3049.57932152741,3744.42531166725
" Id3",46.5515979043941,71.8945976417821,396.957812142776,380.828049213556,120.831195351218,87.0120418124383,145.561276900375,228.759940458735
" E2f2",78.8106077203955,84.0160965900378,136.871647154924,146.063106615438,51.4125389968762,48.4946623412138,80.8643727516519,112.746220336256
" Camk2n1",316.087863808527,323.91395904225,257.667832258962,263.654582526337,229.34000147355,223.537146481603,190.045903674438,169.381332120289
" Epha2",2560.17133161859,2670.75048375702,1733.57712587231,1771.72147689836,906.792882751274,1008.85492588513,2814.41780302013,2475.86163675388
" Apitd1",1113.63164932728,1122.07388247408,1945.67568864483,1796.09029384647,1007.84102616191,1018.51122456668,1354.14475673849,1646.90101403135
" Eno1",113645.770626108,114156.159797805,178855.308238335,179040.285858238,143379.166722183,139192.832753208,141307.337269778,158534.176202577
" B3galt6",53.9788000826078,72.677369642907,187.783771192003,156.254322704959,50.6549872973637,61.700938443506,87.6384949177193,131.925433519187
" Steap1",2786.54837309498,2835.84246253696,1646.8493316517,1711.72403605321,1718.59289752224,1768.97603249609,2689.07772780724,2155.57663659511
" Pclo",8.0637825686809,8.30250631334262,11.9080567113192,11.3087954865049,33.4890841367766,29.8988001870145,7.59521986359871,9.53709742223869
" Fosl2",1498.62390536826,1423.25714411676,440.138327576284,587.350220616655,591.095043203212,543.220290041159,1756.40288957504,1247.62154927214
" Crmp1",1414.79628557288,1274.87431059184,1731.65945206051,1833.89946023993,1584.76983962511,1472.47988634099,1865.76065011064,1973.7283249887
" Cpeb2",230.189397807813,218.661554983701,106.396759241259,128.865729674306,182.532231275245,148.268519248395,168.348120537017,178.744927797911
" Lcorl",746.084671873686,704.946278477969,360.442194536178,346.75632502625,795.879286467819,767.390781499213,557.705742892095,414.529187459342
" Tbc1d1",1852.546412849,1864.26732122272,1269.48417582088,1348.80573239309,1800.38667800553,1843.904973963,1594.93049961816,1389.13342898423
" Limch1",223.964997541046,241.548634620292,135.050771353625,144.133599697834,122.07983213191,143.797606758777,238.876338139994,194.121291398755
" Utp3",2426.62706424158,2423.26133078665,4353.28311947926,4271.32126734059,1870.63602320531,1893.17691857987,3581.22559884307,3964.82364829872
" 4930524J08Rik",16.4435992597611,22.5738703485529,186.290862372335,107.617080573781,28.4544440130564,18.441358115472,43.19042066835,50.1552931731453
" Mn1",34.2079599177917,43.65378484605,49.1253892174276,49.400318764845,99.5465865374555,95.0993417919734,30.3718060210088,43.5970864710591
" Fam222a",166.950235760878,168.408391973185,340.104395605994,340.830272759181,166.309912836994,151.810770561496,162.535808330859,208.735032407281
" Gcn1l1",4206.88776390968,4064.91746926923,3007.78417625869,2969.68421834192,4016.84418036442,4115.29630573131,3210.84662443082,3004.13497447229
" Ccdc64",1239.70935793972,1349.50864046703,2056.12040432445,2059.92819975356,806.302653341024,945.665043454733,1630.3517220828,2078.87557533
